Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
299,-5.570338,0,0,0,0,-2.0991085,-3.1093614,0,0,0,0,0
300,-5.5367269,0,0,0,0,-2.0864427,-3.0905997,0,0,0,0,0
301,-5.5031158,0,0,0,0,-2.0737768,-3.071838,0,0,0,0,0
302,-5.4695048,0,0,0,0,-2.0611109,-3.0530763,0,0,0,0,0
303,-5.4358937,0,0,0,0,-2.048445,-3.0343146,0,0,0,0,0
304,-5.4022826,0,0,0,0,-2.0357791,-3.0155529,0,0,0,0,0
305,-5.3686715,0,0,0,0,-2.0231132,-2.9967912,0,0,0,0,0
306,-5.3350604,0,0,0,0,-2.0104473,-2.9780295,0,0,0,0,0
307,-5.3014494,0,0,0,0,-1.9977814,-2.9592678,0,0,0,0,0
308,-5.2678383,0,0,0,0,-1.9851155,-2.9405061,0,0,0,0,0
309,-5.2342272,0,0,0,0,-1.9724496,-2.9217444,0,0,0,0,0
310,-5.2006161,0,0,0,0,-1.9597837,-2.9029827,0,0,0,0,0
311,-5.167005,0,0,0,0,-1.9471178,-2.884221,0,0,0,0,0
312,-5.1333939,0,0,0,0,-1.9344519,-2.8654593,0,0,0,0,0
